"Pos","2025","Title","Director","Year","Country","Mins"
"1","1","Citizen Kane","Welles, Orson","1941","USA","119"
"2","2","Vertigo","Hitchcock, Alfred","1958","USA","128"
"3","3","2001: A Space Odyssey","Kubrick, Stanley","1968","UK","139"
"4","4","Tokyo Story","Ozu, Yasujiro","1953","Japan","134"
"5","5","Rules of the Game, The","Renoir, Jean","1939","France","113"
"6","6","Godfather, The","Coppola, Francis Ford","1972","USA","175"
"7","7","8½","Fellini, Federico","1963","Italy","135"
"8","8","Sunrise: A Song of Two Humans","Murnau, F.W.","1927","USA","110"
"9","9","Searchers, The","Ford, John","1956","USA","119"
"10","10","Seven Samurai","Kurosawa, Akira","1954","Japan","200"
"11","11","Singin' in the Rain","Donen, Stanley & Gene Kelly","1952","USA","102"
"12","12","Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles","Akerman, Chantal","1975","Belgium","201"
"13","13","Apocalypse Now","Coppola, Francis Ford","1979","USA","150"
"14","15","Taxi Driver","Scorsese, Martin","1976","USA","113"
"15","14","Bicycle Thieves","De Sica, Vittorio","1948","Italy","89"
"16","16","Persona","Bergman, Ingmar","1966","Sweden","83"
"17","17","In the Mood for Love","Wong Kar-wai","2000","Hong Kong","97"
"18","18","Breathless","Godard, Jean-Luc","1960","France","89"
"19","19","Passion of Joan of Arc, The","Dreyer, Carl Theodor","1928","France","110"
"20","21","Battleship Potemkin","Eisenstein, Sergei","1925","USSR","71"
"21","20","Atalante, L'","Vigo, Jean","1934","France","89"
"22","22","Man with a Movie Camera","Vertov, Dziga","1929","USSR","80"
"23","23","Mirror","Tarkovsky, Andrei","1975","USSR","107"
"24","26","Psycho","Hitchcock, Alfred","1960","USA","109"
"25","24","Rashomon","Kurosawa, Akira","1950","Japan","88"
"26","25","City Lights","Chaplin, Charles","1931","USA","86"
"27","27","400 Blows, The","Truffaut, François","1959","France","99"
"28","28","Andrei Rublev","Tarkovsky, Andrei","1966","USSR","185"
"29","30","Mulholland Dr.","Lynch, David","2001","USA","147"
"30","33","Godfather Part II, The","Coppola, Francis Ford","1974","USA","200"
"31","31","Some Like it Hot","Wilder, Billy","1959","USA","121"
"32","29","Au hasard Balthazar","Bresson, Robert","1966","France","95"
"33","34","Dolce vita, La","Fellini, Federico","1960","Italy","175"
"34","32","Ordet","Dreyer, Carl Theodor","1955","Denmark","125"
"35","35","Raging Bull","Scorsese, Martin","1980","USA","129"
"36","36","Night of the Hunter, The","Laughton, Charles","1955","USA","92"
"37","38","Casablanca","Curtiz, Michael","1942","USA","102"
"38","37","Avventura, L'","Antonioni, Michelangelo","1960","Italy","143"
"39","39","Blade Runner","Scott, Ridley","1982","USA","118"
"40","40","Rear Window","Hitchcock, Alfred","1954","USA","112"
"41","43","Sunset Blvd.","Wilder, Billy","1950","USA","110"
"42","41","Touch of Evil","Welles, Orson","1958","USA","108"
"43","44","Barry Lyndon","Kubrick, Stanley","1975","UK","183"
"44","45","Contempt","Godard, Jean-Luc","1963","France","103"
"45","42","Playtime","Tati, Jacques","1967","France","108"
"46","46","Pather Panchali","Ray, Satyajit","1955","India","112"
"47","47","Close-Up","Kiarostami, Abbas","1990","Iran","98"
"48","49","Lawrence of Arabia","Lean, David","1962","UK","216"
"49","48","Stalker","Tarkovsky, Andrei","1979","USSR","160"
"50","50","General, The","Keaton, Buster & Clyde Bruckman","1926","USA","74"
"51","51","Modern Times","Chaplin, Charles","1936","USA","89"
"52","52","Beau travail","Denis, Claire","1999","France","92"
"53","55","M","Lang, Fritz","1931","Germany","99"
"54","54","Third Man, The","Reed, Carol","1949","UK","104"
"55","56","Late Spring","Ozu, Yasujiro","1949","Japan","108"
"56","53","Apartment, The","Wilder, Billy","1960","USA","125"
"57","57","North by Northwest","Hitchcock, Alfred","1959","USA","136"
"58","58","Ugetsu monogatari","Mizoguchi, Kenji","1953","Japan","96"
"59","60","GoodFellas","Scorsese, Martin","1990","USA","146"
"60","59","Battle of Algiers, The","Pontecorvo, Gillo","1966","Italy","121"
"61","61","Grande illusion, La","Renoir, Jean","1937","France","117"
"62","62","Wild Strawberries","Bergman, Ingmar","1957","Sweden","90"
"63","63","Rio Bravo","Hawks, Howard","1959","USA","141"
"64","64","Fanny and Alexander","Bergman, Ingmar","1982","Sweden","189"
"65","66","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Kubrick, Stanley","1964","UK","93"
"66","65","Shoah","Lanzmann, Claude","1985","France","566"
"67","67","Once Upon a Time in the West","Leone, Sergio","1968","Italy","165"
"68","70","Chinatown","Polanski, Roman","1974","USA","131"
"69","69","Journey to Italy","Rossellini, Roberto","1954","Italy","97"
"70","68","Pierrot le fou","Godard, Jean-Luc","1965","France","110"
"71","71","Do the Right Thing","Lee, Spike","1989","USA","120"
"72","72","Metropolis","Lang, Fritz","1927","Germany","153"
"73","73","Woman Under the Influence, A","Cassavetes, John","1974","USA","155"
"74","76","Enfants du paradis, Les","Carné, Marcel","1945","France","195"
"75","74","Strada, La","Fellini, Federico","1954","Italy","115"
"76","75","Leopard, The","Visconti, Luchino","1963","Italy","186"
"77","77","Amarcord","Fellini, Federico","1973","Italy","127"
"78","82","It's a Wonderful Life","Capra, Frank","1946","USA","129"
"79","79","Wild Bunch, The","Peckinpah, Sam","1969","USA","135"
"80","78","Pulp Fiction","Tarantino, Quentin","1994","USA","154"
"81","80","Viridiana","Buñuel, Luis","1961","Spain","90"
"82","91","Jaws","Spielberg, Steven","1975","USA","124"
"83","86","Shining, The","Kubrick, Stanley","1980","USA","142"
"84","81","Man Escaped, A","Bresson, Robert","1956","France","102"
"85","90","Blue Velvet","Lynch, David","1986","USA","120"
"86","85","Sansho the Bailiff","Mizoguchi, Kenji","1954","Japan","125"
"87","87","Conformist, The","Bertolucci, Bernardo","1970","Italy","107"
"88","84","Seventh Seal, The","Bergman, Ingmar","1957","Sweden","96"
"89","83","Man Who Shot Liberty Valance, The","Ford, John","1962","USA","119"
"90","92","Nashville","Altman, Robert","1975","USA","160"
"91","89","Magnificent Ambersons, The","Welles, Orson","1942","USA","88"
"92","88","Pickpocket","Bresson, Robert","1959","France","75"
"93","93","Gold Rush, The","Chaplin, Charles","1925","USA","82"
"94","95","Jetée, La","Marker, Chris","1962","France","27"
"95","94","Gertrud","Dreyer, Carl Theodor","1964","Denmark","116"
"96","96","Sans soleil","Marker, Chris","1983","France","100"
"97","97","Cléo from 5 to 7","Varda, Agnès","1962","France","90"
"98","99","Jules et Jim","Truffaut, François","1962","France","104"
"99","98","To Be or Not to Be","Lubitsch, Ernst","1942","USA","99"
"100","100","Meshes of the Afternoon","Deren, Maya & Alexander Hammid","1943","USA","15"
"101","101","Mother and the Whore, The","Eustache, Jean","1973","France","210"
"102","102","Sátántangó","Tarr, Béla","1994","Hungary","439"
"103","104","Madame de...","Ophüls, Max","1953","France","105"
"104","103","Sherlock Jr.","Keaton, Buster","1924","USA","45"
"105","105","Clockwork Orange, A","Kubrick, Stanley","1971","UK","137"
"106","106","Ikiru","Kurosawa, Akira","1952","Japan","143"
"107","107","Ali: Fear Eats the Soul","Fassbinder, Rainer Werner","1974","West Germany","94"
"108","108","Aguirre, the Wrath of God","Herzog, Werner","1972","West Germany","94"
"109","110","Come and See","Klimov, Elem","1985","USSR","142"
"110","109","Annie Hall","Allen, Woody","1977","USA","93"
"111","112","Spirit of the Beehive, The","Erice, Víctor","1973","Spain","95"
"112","111","Last Year at Marienbad","Resnais, Alain","1961","France","94"
"113","113","Once Upon a Time in America","Leone, Sergio","1984","Italy","229"
"114","114","Greed","von Stroheim, Erich","1924","USA","140"
"115","117","Wizard of Oz, The","Fleming, Victor","1939","USA","101"
"116","115","Piano, The","Campion, Jane","1993","New Zealand","121"
"117","116","Brighter Summer Day, A","Yang, Edward","1991","Taiwan","237"
"118","118","Yi Yi","Yang, Edward","2000","Taiwan","173"
"119","119","Don't Look Now","Roeg, Nicolas","1973","UK","110"
"120","120","Hiroshima mon amour","Resnais, Alain","1959","France","91"
"121","121","Red Shoes, The","Powell, Michael & Emeric Pressburger","1948","UK","133"
"122","128","Alien","Scott, Ridley","1979","USA","117"
"123","132","E.T. The Extra-Terrestrial","Spielberg, Steven","1982","USA","115"
"124","123","Bringing Up Baby","Hawks, Howard","1938","USA","102"
"125","122","Blow-Up","Antonioni, Michelangelo","1966","UK","111"
"126","126","Day in the Country, A","Renoir, Jean","1936","France","40"
"127","127","Notorious","Hitchcock, Alfred","1946","USA","101"
"128","129","Vivre sa vie","Godard, Jean-Luc","1962","France","85"
"129","125","Intolerance","Griffith, D.W.","1916","USA","178"
"130","124","Eclisse, L'","Antonioni, Michelangelo","1962","Italy","126"
"131","137","Spirited Away","Miyazaki, Hayao","2001","Japan","124"
"132","131","Matter of Life and Death, A","Powell, Michael & Emeric Pressburger","1946","UK","104"
"133","130","Letter from an Unknown Woman","Ophüls, Max","1948","USA","90"
"134","134","All About Eve","Mankiewicz, Joseph L.","1950","USA","138"
"135","135","Olvidados, Los","Buñuel, Luis","1950","Mexico","88"
"136","133","Exterminating Angel, The","Buñuel, Luis","1962","Mexico","95"
"137","152","Star Wars","Lucas, George","1977","USA","121"
"138","136","Imitation of Life","Sirk, Douglas","1959","USA","124"
"139","141","His Girl Friday","Hawks, Howard","1940","USA","92"
"140","138","Histoire(s) du cinéma","Godard, Jean-Luc","1988-98","France","267"
"141","140","Gone with the Wind","Fleming, Victor","1939","USA","222"
"142","146","Nosferatu","Murnau, F.W.","1922","Germany","84"
"143","153","There Will Be Blood","Anderson, Paul Thomas","2007","USA","158"
"144","139","My Darling Clementine","Ford, John","1946","USA","97"
"145","142","Rome, Open City","Rossellini, Roberto","1945","Italy","105"
"146","145","Daisies","Chytilová, Věra","1966","Czechoslovakia","76"
"147","151","Wanda","Loden, Barbara","1970","USA","105"
"148","143","Céline and Julie Go Boating","Rivette, Jacques","1974","France","192"
"149","144","Gospel According to St. Matthew, The","Pasolini, Pier Paolo","1964","Italy","135"
"150","147","One Flew Over the Cuckoo's Nest","Forman, Milos","1975","USA","133"
"151","148","Umbrellas of Cherbourg, The","Demy, Jacques","1964","France","91"
"152","150","Conversation, The","Coppola, Francis Ford","1974","USA","113"
"153","149","Killer of Sheep","Burnett, Charles","1977","USA","83"
"154","155","Chien andalou, Un","Buñuel, Luis","1928","France","16"
"155","157","Days of Heaven","Malick, Terrence","1978","USA","95"
"156","154","Good, the Bad and the Ugly, The","Leone, Sergio","1966","Italy","161"
"157","163","Double Indemnity","Wilder, Billy","1944","USA","106"
"158","158","Trouble in Paradise","Lubitsch, Ernst","1932","USA","83"
"159","168","Deer Hunter, The","Cimino, Michael","1978","USA","183"
"160","156","Argent, L'","Bresson, Robert","1983","France","90"
"161","159","Chungking Express","Wong Kar-wai","1994","Hong Kong","104"
"162","161","My Neighbour Totoro","Miyazaki, Hayao","1988","Japan","86"
"163","160","Cries and Whispers","Bergman, Ingmar","1972","Sweden","106"
"164","164","Tropical Malady","Weerasethakul, Apichatpong","2004","Thailand","118"
"165","162","Manhattan","Allen, Woody","1979","USA","96"
"166","172","Rosemary's Baby","Polanski, Roman","1968","USA","136"
"167","166","Passenger, The","Antonioni, Michelangelo","1975","Italy","126"
"168","165","Badlands","Malick, Terrence","1973","USA","95"
"169","167","Âge d'or, L'","Buñuel, Luis","1930","France","63"
"170","170","Texas Chain Saw Massacre, The","Hooper, Tobe","1974","USA","83"
"171","169","Dekalog","Kieslowski, Krzysztof","1989","Poland","550"
"172","176","Discreet Charm of the Bourgeoisie, The","Buñuel, Luis","1972","France","102"
"173","182","Portrait of a Lady on Fire","Sciamma, Céline","2019","France","121"
"174","200","Raiders of the Lost Ark","Spielberg, Steven","1981","USA","115"
"175","171","Only Angels Have Wings","Hawks, Howard","1939","USA","121"
"176","173","Stagecoach","Ford, John","1939","USA","96"
"177","177","Brief Encounter","Lean, David","1945","UK","85"
"178","174","Touki Bouki","Diop Mambéty, Djibril","1973","Senegal","85"
"179","175","Duck Soup","McCarey, Leo","1933","USA","70"
"180","204","Close Encounters of the Third Kind","Spielberg, Steven","1977","USA","135"
"181","179","Birds, The","Hitchcock, Alfred","1963","USA","119"
"182","183","Johnny Guitar","Ray, Nicholas","1954","USA","110"
"183","178","Ran","Kurosawa, Akira","1985","France","161"
"184","185","Mouchette","Bresson, Robert","1967","France","80"
"185","180","Colour of Pomegranates, The","Parajanov, Sergei","1969","USSR","80"
"186","181","Earth","Dovzhenko, Alexander","1930","USSR","75"
"187","190","Vampyr","Dreyer, Carl Theodor","1932","Germany","73"
"188","188","Napoléon","Gance, Abel","1927","France","235"
"189","187","Out of the Past","Tourneur, Jacques","1947","USA","97"
"190","196","Paris, Texas","Wenders, Wim","1984","West Germany","150"
"191","184","River, The","Renoir, Jean","1951","France","99"
"192","193","Tree of Life, The","Malick, Terrence","2011","USA","139"
"193","186","Chimes at Midnight","Welles, Orson","1965","Switzerland","115"
"194","194","Black Narcissus","Powell, Michael & Emeric Pressburger","1947","UK","99"
"195","199","Gleaners & I, The","Varda, Agnès","2000","France","82"
"196","189","Notte, La","Antonioni, Michelangelo","1961","Italy","122"
"197","197","Paisan","Rossellini, Roberto","1946","Italy","120"
"198","205","King Kong","Cooper, Merian C. & Ernest B. Schoedsack","1933","USA","103"
"199","191","Nights of Cabiria","Fellini, Federico","1957","Italy","110"
"200","192","Rocco and His Brothers","Visconti, Luchino","1960","Italy","180"
"201","195","Spring in a Small Town","Fei Mu","1948","China","98"
"202","201","Salò, or the 120 Days of Sodom","Pasolini, Pier Paolo","1975","Italy","117"
"203","198","Lady Eve, The","Sturges, Preston","1941","USA","94"
"204","203","On the Waterfront","Kazan, Elia","1954","USA","108"
"205","206","Last Laugh, The","Murnau, F.W.","1924","Germany","77"
"206","202","City of Sadness, A","Hou Hsiao-hsien","1989","Taiwan","157"
"207","208","News from Home","Akerman, Chantal","1976","Belgium","85"
"208","211","Thing, The","Carpenter, John","1982","USA","108"
"209","207","Vagabond","Varda, Agnès","1985","France","105"
"210","210","Great Dictator, The","Chaplin, Charles","1940","USA","128"
"211","218","Magnolia","Anderson, Paul Thomas","1999","USA","188"
"212","209","Death in Venice","Visconti, Luchino","1971","Italy","130"
"213","213","Wings of Desire","Wenders, Wim","1987","West Germany","130"
"214","212","Life and Death of Colonel Blimp, The","Powell, Michael & Emeric Pressburger","1943","UK","163"
"215","216","Moonlight","Jenkins, Barry","2016","USA","111"
"216","217","Breaking the Waves","von Trier, Lars","1996","Denmark","156"
"217","214","Solaris","Tarkovsky, Andrei","1972","USSR","165"
"218","221","Quiet Man, The","Ford, John","1952","USA","129"
"219","215","Wavelength","Snow, Michael","1967","Canada","45"
"220","225","Brazil","Gilliam, Terry","1985","UK","131"
"221","220","Samouraï, Le","Melville, Jean-Pierre","1967","France","101"
"222","222","Kes","Loach, Ken","1969","UK","113"
"223","219","Zero for Conduct","Vigo, Jean","1933","France","41"
"224","224","Umberto D.","De Sica, Vittorio","1952","Italy","89"
"225","227","Where is the Friend's House?","Kiarostami, Abbas","1987","Iran","85"
"226","223","Grapes of Wrath, The","Ford, John","1940","USA","129"
"227","250","Big Lebowski, The","Coen, Joel & Ethan Coen","1998","USA","113"
"228","254","Eternal Sunshine of the Spotless Mind","Gondry, Michel","2004","USA","108"
"229","239","Best Years of Our Lives, The","Wyler, William","1946","USA","172"
"230","226","Life of Oharu, The","Mizoguchi, Kenji","1952","Japan","146"
"231","235","Parasite","Bong Joon-ho","2019","South Korea","132"
"232","228","Sullivan's Travels","Sturges, Preston","1941","USA","91"
"233","279","Back to the Future","Zemeckis, Robert","1985","USA","116"
"234","238","Matrix, The","Wachowski, Lana & Lilly Wachowski","1999","USA","136"
"235","237","McCabe & Mrs. Miller","Altman, Robert","1971","USA","121"
"236","230","Travelling Players, The","Angelopoulos, Theo","1975","Greece","230"
"237","231","Black God, White Devil","Rocha, Glauber","1964","Brazil","110"
"238","229","Love Streams","Cassavetes, John","1984","USA","141"
"239","233","House is Black, The","Farrokhzad, Forugh","1963","Iran","20"
"240","232","Germany, Year Zero","Rossellini, Roberto","1948","Italy","74"
"241","241","Crowd, The","Vidor, King","1928","USA","104"
"242","234","Ashes and Diamonds","Wajda, Andrzej","1958","Poland","103"
"243","236","Red Desert","Antonioni, Michelangelo","1964","Italy","117"
"244","243","Memories of Underdevelopment","Gutiérrez Alea, Tomás","1968","Cuba","97"
"245","246","Eraserhead","Lynch, David","1977","USA","89"
"246","242","Ivan the Terrible, Part II","Eisenstein, Sergei","1946","USSR","88"
